LOCALIDADES,El Carmen,Nopala (Guadalupe Nopala),Loma de San Jos,Santiago Zacualuca,La Planada,Colonia Morelos,El Cid,Colonia Santo Toms,Prados San Francisco,Colonia Lzaro Crdenas del Ro,San Miguel,Benito Jurez,San Pedro Tepetitln,Colonia la Asuncin,Unidad San Miguel Jageyes,El Dorado Huehuetoca,San Juan Teacalco,Santo Domingo Aztacameca,Prados de San Juan,Oxtotipac,Fraccionamiento Santa Cruz Tecmac,Lomas de Tenopalco,Barrio Tlatenco,Ocopulco,Axapusco,Santa Mara Huecatitla,Colonia Lzaro Crdenas (Los Hornos),San Francisco Mazapa,Caada de Cisneros,Santa Mara Cuevas (Cuevas),Cuautlacingo,Puerto Mag,San Francisco Tenopalco,Nopaltepec,Ixtlahuaca de Cuauhtmoc,Colonia el Salado,Santa Mara,Colonia Santa Luca,Villa URBI del Rey,Santa Luca,Colonia 2 de Septiembre,San Miguel Jaltocan,Santiago Chimalpa (Chimalpa),General Felipe ngeles (Los ngeles),La Providencia,San Bartolom Actopan,Loma Larga,San Buenaventura,Hueypoxtla,Transfiguracin,Villas de la Laguna,Axotln,San Marcos Nepantla,Tepojaco,San Pedro Xalpa,San Miguel Jageyes,Santa Mara de Guadalupe,San Jos de la Loma,San Miguel Hila,Santiago Tolman,Loma Alta,Santa Isabel Ixtapan,San Pedro Huaquilpan,San Miguel Xometla,Atlatongo,Zapotln de Jurez,San Francisco Mag,Nueva Santa Rosa,Ex-Hacienda Santa Ins,San Bartolo,Santa Catarina,Huitzila,Arbolada los Sauces,San Jos el Vidrio,Tezontepec,San Mateo Ixtacalco,Santa Mara Magdalena Cahuacn,San Pablo Tecalco,San Sebastin Xolalpa,San Lorenzo Tlalmimilolpan,Acolman de Nezahualcyotl,San Luis Tecuahutitln,Concepcin Jolalpan,Santa Ana Tlachihualpa,Quinto Barrio (Ejido Cahuacn),Granjas Ampliacin Santa Rosa,San Sebastin,Salitrillo,Temascalapa,San Bartolo,Tlapanaloya,Tequisistln,San Cristbal Nexquipayac,Santa Cruz del Monte,Santa Mara Tonanitla,Tolcayuca,Fraccionamiento Paseos de Tultepec II,Ejido de Coyotepec,San Francisco Zacacalco,San Bartolo,Jilotzingo,Villa del Carbn,San Mateo Xoloc,Ex-Hacienda de Jalpa,Galaxia Cuautitln,Santa Mara Ajoloapan,Ejido de Tequisistln Primero,Santiago Cuautlalpan,Paseos de San Juan,Otumba de Gmez Faras,Fraccionamiento la Trinidad,Puerto Escondido (Tepeolulco Puerto Escondido),San Bartolo Cuautlalpan,Jaltenco,Progreso Industrial,Huehuetoca,San Martn de las Pirmides,Veintids de Febrero,Haciendas de Tizayuca,Santa Ana Nextlalpan,Fraccionamiento Social Progresivo Santo Toms Chiconautla,Alborada Jaltenco,Tecmac de Felipe Villanueva,Ampliacin San Mateo (Colonia Solidaridad),Tezoyuca,San Salvador Atenco,Huilango,Santiago Teyahualco,Don Antonio,Santa Mara Ajoloapan,San Juan Zitlaltepec,Chiconcuac de Jurez,Los Reyes Acozac,Tequixquiac,Teotihuacn de Arista,Tultitln de Mariano Escobedo,San Martn Azcatepec,Coyotepec,Colonia Santa Teresa,Tepotzotln,Melchor Ocampo,Tizayuca,Zumpango de Ocampo,Teoloyucan,Tultepec,Fuentes del Valle,Tepexpan,Cuautitln,San Pablo de las Salinas,Buenavista,Ojo de Agua,San Francisco Coacalco,Villa Nicols Romero,Azcapotzalco,Cuautitln Izcalli,Ciudad Lpez Mateos,Tlalnepantla,Naucalpan de Jurez,Gustavo A. Madero,Ecatepec de Morelos, 
San Miguel,29.16,23.539,61.904,35.275,16.254,62.523,30.902,14.937,21.329,6.373,0,51.761,52.838,26.097,35.213,24.153,36.919,76.302,46.167,64.763,34.66,23.096,22.101,53.264,71.481,22.025,35.173,62.874,42.74,8.315,66.634,46.396,21.154,70.96,37.667,43.031,11.37,21.169,31.939,27.642,22.576,20.329,51.184,30.148,16.971,35.743,60.137,52.225,13.865,70.258,9.22,30.278,40.618,25.88,15.584,33.369,6.983,11.161,57.603,68.228,71.547,47.422,49.227,54.085,41.261,47.416,44.111,45.678,24.628,53.639,51.199,26.473,13.889,69.915,49.954,23.113,71.19,37.508,61.054,60.008,51.044,35.904,58.417,34.215,72.603,45,14.5,18.081,30.396,20.176,12.109,46.172,50.422,22.156,23.855,54.349,31.107,20.622,25.757,11.445,14.135,71.773,30.43,13.683,23.455,22.352,44.297,34.722,21.104,70.862,9.795,47.048,18.665,14.884,61.234,16.955,62.153,60.439,29.779,16.182,45.135,28.128,31.57,39.808,55.012,52.194,47.622,31.862,35.879,26.927,9.03,53.089,24.324,4.423,59.668,35.186,34.19,18.071,31.39,27.164,20.178,22.008,10.162,19.485,23.676,37.639,43.022,25.311,28.127,41.628,43.903,40.843,55.365,61.407,43.589,53.753,53.757,61.074,52.216,39.191, 
Benito Jurez,21.49,31.605,105.36,43.105,52.614,105.979,22.526,51.297,69.819,44.637,51.761,0,44.441,63.204,102.346,75.316,12.039,14.951,54.032,36.383,55.99,77.056,67.397,49.371,22.386,67.321,76.382,31.146,110.587,54.63,28.619,114.243,78.467,21.679,7.221,53.891,63.697,49.575,99.072,46.266,77.247,56.412,53.527,15.088,62.267,8.94,111.027,109.96,49.139,121.148,49.85,99.894,47.837,20.253,60.88,100.502,52.28,56.457,108.493,24.023,131.451,49.765,19.499,45.688,46.405,17.688,111.958,51.436,74.501,45.242,42.802,22.021,43.392,120.805,2.087,68.409,122.08,56.771,31.42,36.116,42.647,17.829,46.456,21.728,123.493,51.889,47.969,63.377,14.943,65.472,53.442,48.515,52.765,68.239,61.692,24.621,81.998,66.705,35.946,61.3,46.938,131.677,102.026,58.979,88.091,45.501,48.842,102.276,44.843,25.111,48.717,74.991,39.198,55,112.124,62.251,28.987,111.329,31.855,53.384,57.823,69.392,52.2,76.822,46.615,54.537,98.513,74.817,18.006,45.552,54.326,55.432,44.028,60.972,35.776,77.464,53.453,64.154,91.607,98.76,65.474,35.525,48.457,64.781,77.659,73.617,50.607,84.164,73.333,81.55,57.827,69.594,106.255,89.35,94.48,96.073,84.648,96.931,80.159,67.134, 
San Pedro Tepetitln,55.105,65.22,69.049,12.307,47.685,69.668,58.561,46.544,33.508,49.809,52.838,44.441,0,32.064,58.439,65.552,24.724,32.214,16.404,19.279,14.503,33.149,45.64,5.391,25.997,45.564,32.475,12.93,66.68,52.233,21.15,70.336,34.56,33.197,59.515,16.263,59.8,42.427,55.165,35.29,33.34,34.279,8.398,51.996,40.51,30.077,67.12,75.451,57.783,77.241,49.888,55.987,9.276,45.454,55.071,56.595,47.651,50.647,64.586,22.744,94.773,12.137,71.46,2.272,7.102,69.649,68.051,13.808,30.594,4.695,4.66,48.395,47.356,76.898,46.469,44.221,78.173,12.326,11.11,5.445,3.137,19.596,10.571,22.808,79.586,14.261,41.143,56.038,29.497,43.715,61.355,10.887,11.265,60.505,27.635,60.451,38.091,58.971,57.603,59.283,55.065,94.999,58.119,53.17,44.184,82.521,11.214,58.369,43.871,25.378,50.463,29.62,45.537,42.819,68.217,58.213,12.339,67.422,53.512,36.527,25.5,25.485,17.026,32.915,5.779,13.036,54.606,30.91,49.349,36.955,48.516,11.399,38.919,56.397,8.503,33.557,15.336,59.667,64.907,54.853,43.717,48.053,45.544,43.024,33.752,29.71,12.979,40.257,29.426,37.643,24.268,25.687,62.348,43.979,50.573,50.702,39.277,51.56,34.788,21.763, 
Colonia la Asuncin,36.388,41.58,42.36,18.766,20.592,42.979,39.845,19.451,6.41,23.068,26.097,63.204,32.064,0,32.961,40.073,33.79,57.75,13.617,44.815,19.093,7.135,19.052,33.315,51.533,18.976,14.61,42.926,39.691,26.352,46.686,43.347,8.546,58.733,46.079,23.082,34.321,17.245,29.687,19.398,7.326,5.012,31.235,38.56,13.922,41.88,41.914,49.973,31.902,52.035,24.007,30.781,18.056,32.017,29.19,31.117,21.77,24.766,39.38,48.28,69.295,27.473,53.545,34.137,23.385,51.734,41.062,25.729,4.277,33.691,31.251,26.863,17.352,51.692,54.271,13.387,52.967,14.946,41.106,40.06,31.096,28.192,38.468,26.503,54.38,25.051,13.476,30.559,36.533,17.127,35.474,26.223,30.473,35.026,1.761,47.015,12.306,33.492,44.166,29.61,29.882,69.521,27.381,27.289,13.552,40.389,24.348,33.163,17.286,50.914,19.879,27.099,20.354,11.644,43.011,32.734,42.205,42.216,40.075,8.86,8.422,7.823,15.303,19.245,35.064,32.245,29.4,10.246,35.912,21.048,22.635,33.14,20.399,30.516,39.72,13.136,13.653,21.961,39.429,24.115,10.084,24.909,15.731,16.436,7.738,15.381,23.073,13.056,7.822,21.396,7.519,11.555,37.142,41.458,25.367,35.53,36.756,49.039,32.267,19.242, 
Unidad San Miguel Jageyes,53.067,50.696,51.878,59.535,18.06,52.497,54.809,19.116,28.197,19.745,35.213,102.346,58.439,32.961,0,17.621,73.112,83.948,52.417,71.013,60.87,29.719,23.32,59.514,77.731,24.888,33.387,69.124,36.836,35.776,72.884,40.492,27.777,84.931,85.4,49.281,11.869,37.393,6.587,61.175,29.199,31.397,57.434,77.881,23.594,81.202,49.659,16.291,41.326,59.78,33.431,23.504,62.484,71.339,12.832,8.017,19.21,14.956,47.125,74.478,46.211,53.672,92.866,60.335,61.052,91.055,38.207,51.928,31.251,59.889,57.449,50.684,38.1,45.736,93.592,24.515,50.461,61.651,67.304,66.258,57.294,67.514,64.667,65.825,51.874,51.25,31.983,8.35,75.855,26.799,37.205,52.422,56.672,13.909,34.109,86.336,37.357,13.227,53.218,11.595,41.596,46.437,24.526,12.678,26.016,49.813,50.547,28.818,37.435,77.112,34.006,53.298,42.876,25.903,50.756,10.525,68.403,49.961,53.99,27.22,51.385,34.751,57.08,38.699,61.262,58.444,26.179,38.112,75.234,62.84,17.087,59.339,40.547,21.851,65.918,33.401,58.333,13.871,16.33,20.243,26.801,46.219,29.087,26.108,30.299,35.853,49.272,28.54,34.75,34.889,50.153,40.412,44.887,48.292,27.609,43.275,42.229,49.546,48.151,45.441, 
El Dorado Huehuetoca,42.007,35.984,59.638,48.122,15.047,60.257,43.749,17.418,35.309,17.856,24.153,75.316,65.552,40.073,17.621,0,50.289,89.216,61.107,79.703,48.03,38.409,20.034,68.204,86.421,22.353,42.077,77.814,45.526,24.935,81.574,49.182,36.467,83.874,51.037,57.971,7.228,34.539,14.002,41.012,37.889,33.699,66.124,43.518,22.448,49.113,58.349,24.586,26.811,68.47,22.59,32.194,53.988,39.25,11.391,16.312,17.769,13.515,55.815,83.168,54.652,62.362,62.141,69.025,69.742,60.33,46.897,60.618,39.941,68.579,66.139,39.843,27.259,54.426,62.868,33.205,59.151,50.878,75.994,74.948,65.984,49.274,73.357,47.585,60.564,59.94,27.87,10.334,43.766,22.489,22.648,61.112,65.362,18.44,42.799,67.263,46.047,16.906,38.671,9.659,30.755,54.878,33.216,11.237,34.706,26.974,59.237,37.508,34.474,85.802,23.165,61.988,32.035,34.593,59.446,9.277,77.093,58.651,43.149,29.552,60.075,43.441,44.94,47.389,69.952,67.134,34.869,46.802,49.249,40.297,15.646,68.029,37.694,20.668,74.608,42.091,47.56,15.307,19.811,28.933,35.491,35.378,23.532,18.746,38.989,44.543,57.962,37.23,43.44,43.579,58.843,49.102,53.577,56.982,36.299,51.965,50.919,58.236,56.841,54.131, 
San Juan Teacalco,19.482,29.597,83.073,20.48,41.867,83.692,16.081,40.55,47.532,33.89,36.919,12.039,24.724,33.79,73.112,50.289,0,10.638,31.839,32.07,19.165,45.855,58.346,45.058,18.073,58.27,45.181,18.772,79.386,32.789,24.306,83.042,47.266,21.211,14.461,38.709,43.966,22.952,67.871,17.449,46.046,35.879,49.214,19.408,53.216,5.353,79.826,88.157,51.055,89.947,30.119,68.693,20.126,12.501,41.149,69.301,32.549,36.726,77.292,19.71,107.479,45.452,34.393,22.988,18.231,32.582,80.757,47.123,43.3,19.714,38.489,14.269,29.654,89.604,10.05,56.927,90.879,25.569,27.107,19.465,38.334,5.79,42.143,9.138,92.292,47.576,27.436,43.646,6.835,56.421,55.358,44.202,48.452,73.211,30.49,27.863,50.797,71.677,25.015,41.569,27.207,107.705,70.825,39.248,56.89,47.417,44.529,71.075,24.396,20.798,28.986,43.79,19.467,34.468,80.923,42.52,16.211,80.128,20.924,32.851,26.621,38.191,20.998,45.621,42.302,50.224,67.312,43.616,16.761,14.858,34.595,51.119,19.444,41.294,17.686,46.263,22.251,44.423,77.613,67.559,56.423,15.182,28.726,55.73,46.458,42.416,38.7,52.963,42.132,50.349,26.625,38.393,75.054,58.149,63.279,64.872,53.447,65.73,48.958,35.933, 
Santo Domingo Aztacameca,47.011,65.05,93.909,30.346,72.545,94.528,48.047,71.404,58.368,44.528,76.302,14.951,32.214,57.75,83.948,89.216,10.638,0,39.164,21.515,31.316,55.908,68.399,34.503,7.518,68.323,55.234,16.278,89.439,65.864,13.751,93.095,57.319,7.406,19.384,39.023,82.559,33.59,77.924,28.087,56.099,57.038,38.659,30.047,63.269,14.917,89.879,98.21,60.373,100,40.758,78.746,32.969,23.14,51.788,79.354,43.188,47.365,87.345,9.155,117.532,34.897,31.935,30.82,31.537,30.124,90.81,36.568,53.353,30.374,27.934,24.908,40.293,99.657,14.337,66.98,100.932,36.019,16.552,21.248,27.779,16.428,31.588,19.776,102.345,37.021,38.074,78.797,17.474,66.474,64.676,33.647,37.897,83.264,50.394,37.057,60.85,81.73,50.119,52.208,37.846,117.758,80.878,49.887,66.943,56.735,33.974,81.128,35.034,10.243,39.625,52.379,30.106,65.578,90.976,80.972,14.119,90.181,46.028,59.286,48.259,48.244,31.636,55.674,31.747,39.669,77.365,53.669,27.4,25.496,45.234,40.564,30.082,72.206,20.908,56.316,39.029,82.426,87.666,77.612,66.476,25.821,39.365,65.783,56.511,52.469,35.739,63.016,52.185,60.402,47.027,48.446,85.107,66.738,73.332,73.461,62.036,74.319,57.547,44.522, 
Prados de San Juan,36.225,46.34,62.378,17.892,41.014,62.997,39.682,39.873,26.836,43.138,46.167,54.032,16.404,13.617,52.417,61.107,31.839,39.164,0,27.013,17.75,23.839,36.33,18.141,33.731,36.254,23.165,25.124,57.37,42.923,28.884,61.026,25.25,40.931,50.375,10.041,50.49,25.192,45.855,18.055,24.03,24.969,16.061,42.856,31.2,46.177,57.81,66.141,48.473,67.931,40.578,46.677,10.686,36.314,45.761,47.285,38.341,41.337,55.276,30.478,85.463,12.298,57.841,16.335,16.015,56.03,58.741,10.555,21.284,14.198,11.093,25.52,30.12,67.588,58.567,34.911,68.863,7.922,23.304,22.258,13.294,32.489,23.294,30.8,70.276,9.877,31.833,46.728,40.83,34.405,52.045,11.048,15.299,51.195,11.219,51.311,28.781,49.661,48.463,49.973,37.829,85.689,48.809,43.86,34.874,70.865,9.174,49.059,26.636,33.112,41.153,22.254,28.301,33.509,58.907,48.903,24.403,58.112,44.372,27.217,4.556,16.174,13.96,23.605,13.326,17.071,45.296,21.6,40.209,27.815,39.206,17.966,21.684,47.087,17.594,24.247,11.488,50.357,55.597,45.543,34.407,38.913,36.234,33.714,24.442,20.4,7.899,30.947,20.116,28.333,6.311,16.377,53.038,36.612,41.263,51.426,31.91,44.193,27.421,14.397, 
Oxtotipac,61.226,79.265,80.974,17.457,59.61,81.593,62.262,58.469,45.433,61.734,64.763,36.383,19.279,44.815,71.013,79.703,32.07,21.515,27.013,0,21.011,46.742,59.233,17.991,11.833,59.157,46.068,8.067,80.273,65.826,7.924,83.929,48.153,25.083,64.425,29.857,73.393,38.48,68.758,28.269,46.933,47.872,18.031,63.944,54.103,33.038,80.713,89.044,78.044,90.834,63.481,69.58,18.553,39.179,68.664,70.188,61.244,64.24,78.179,13.459,108.366,25.731,63.345,14.466,14.225,61.534,81.644,27.402,44.187,14.504,18.768,42.12,43.408,90.491,32.458,57.814,91.766,21.603,6.247,10.943,18.613,21.454,10.812,24.666,93.179,27.855,54.736,69.631,31.355,57.308,82.347,24.481,28.731,74.098,41.228,68.467,51.684,72.564,67.79,72.876,51.117,108.592,71.712,66.763,57.777,74.406,24.808,71.962,39.924,8.548,64.056,43.213,41.589,56.412,81.81,71.806,9.973,81.015,63.699,50.12,39.093,39.078,23.534,46.508,22.581,30.503,68.199,44.503,43.073,30.386,62.109,17.382,34.972,69.99,10.603,47.15,24.613,73.26,78.5,68.446,57.31,41.778,59.137,56.617,47.345,43.303,26.573,53.85,43.019,51.236,37.861,39.28,75.941,57.572,64.166,64.295,52.87,65.153,48.381,35.356, 
Fraccionamiento Santa Cruz Tecmac,29.174,39.289,70.831,2.308,39.608,71.45,32.631,48.326,35.29,31.631,34.66,55.99,14.503,19.093,60.87,48.03,19.165,31.316,17.75,21.011,0,33.417,45.908,21.638,26.336,45.832,32.743,16.521,66.948,34.706,21.275,70.604,34.828,33.537,32.278,26.271,41.542,15.875,55.433,8.738,33.608,20.418,23.955,24.759,40.778,28.08,67.388,75.719,35.882,77.509,27.695,56.255,4.609,18.217,38.725,56.863,30.125,34.302,64.854,21.913,95.041,20.193,39.744,13.488,8.081,37.933,68.319,21.864,30.862,9.564,12.616,16.202,20.803,77.166,40.47,44.489,78.441,5.679,14.701,11.46,11.647,14.392,29.737,12.703,79.854,28.24,20.359,56.306,22.733,43.983,39.454,18.943,23.193,60.773,16.426,33.214,38.359,59.239,30.366,39.145,28.512,95.267,58.387,36.824,44.452,52.768,19.27,58.637,17.319,25.9,26.562,31.352,18.984,27.391,68.485,40.096,14.74,67.69,26.275,25.774,12.557,25.753,4.003,33.183,18.882,24.965,54.874,31.178,22.112,10.388,32.171,25.86,12.367,38.87,9.66,33.825,6.581,59.935,65.175,55.121,43.985,18.38,26.302,43.292,34.02,29.978,26.262,40.525,29.694,37.911,12.561,25.955,62.616,45.711,50.841,52.434,41.009,53.292,36.52,23.495, 
Lomas de Tenopalco,50.241,38.579,38.62,34.245,17.591,39.239,53.697,16.45,7.754,20.067,23.096,77.056,33.149,7.135,29.719,38.409,45.855,55.908,23.839,46.742,33.417,0,12.697,34.222,52.44,8.807,12.303,43.833,31.511,23.316,47.593,35.167,2.499,59.64,60.109,23.989,31.285,19.875,26.651,35.884,0.811,9.242,32.142,52.59,10.886,55.911,37.266,46.937,28.866,47.387,20.971,26.133,37.193,46.048,26.154,28.081,18.734,21.73,34.732,49.187,66.259,28.38,67.575,35.044,35.761,65.764,32.882,26.636,5.557,34.598,32.158,30.792,25.64,47.044,68.301,7.471,48.319,36.36,42.013,40.967,32.003,42.223,39.375,40.534,49.732,25.958,16.106,27.523,50.564,8.464,32.438,27.13,31.38,32.287,8.416,61.045,7.658,30.753,58.197,26.574,29.136,66.485,19.237,24.253,7.981,37.353,25.255,23.2,19.916,51.821,21.546,28.006,22.984,7.871,38.363,29.698,43.112,37.568,54.106,11.49,26.094,8.73,31.789,16.938,35.971,33.152,19.437,6.024,49.943,37.549,19.599,34.047,23.029,27.48,40.627,9,33.042,15.606,36.393,15.971,3.8,27.539,14.573,13.4,2.904,12.252,23.98,8.003,5.946,17.26,24.862,9.805,32.494,42.365,16.563,30.882,30.887,38.204,33.174,20.149, 
Barrio Tlatenco,39.955,37.584,37.809,46.736,6.347,38.428,41.697,6.618,14.288,15.08,22.101,67.397,45.64,19.052,23.32,20.034,58.346,68.399,36.33,59.233,45.908,12.697,0,46.579,64.796,4.821,19.533,56.189,22.112,22.364,59.949,25.768,14.117,71.996,48.466,36.346,15.192,23.733,19.791,38.441,15.539,17.737,44.499,40.947,6.217,68.267,35.805,40.077,27.914,45.926,20.019,9.65,49.549,58.404,13,21.221,14.479,10.591,33.271,61.543,59.399,40.737,55.932,47.4,48.117,54.121,23.483,38.993,17.591,46.954,44.514,37.272,24.688,31.012,56.658,7.956,35.737,48.716,54.369,53.323,44.359,54.579,51.732,52.89,37.15,38.315,18.323,21.554,62.92,4.957,31.486,39.487,43.737,8.518,20.449,49.402,24.422,6.984,39.806,13.421,28.184,59.625,9.802,11.357,9.457,36.401,37.612,14.094,23.775,64.177,20.594,40.363,29.464,12.243,36.902,12.668,55.468,36.107,40.578,13.56,38.45,21.091,44.145,24.845,48.327,45.509,12.325,23.363,62.299,49.905,12.356,46.404,26.887,26.528,52.983,19.547,45.398,5.142,29.533,6.536,13.141,32.807,15.675,3.641,16.639,21.999,36.337,14.686,21.09,21.035,37.218,26.558,31.033,34.438,13.755,29.421,28.375,35.692,34.297,32.506, 
Ocopulco,53.329,63.444,69.475,19.431,48.111,70.094,56.785,46.97,33.933,50.235,53.264,49.371,5.391,33.315,59.514,68.204,45.058,34.503,18.141,17.991,21.638,34.222,46.579,0,35.115,45.191,32.102,26.508,66.307,51.86,30.268,69.963,34.187,42.315,59.313,15.794,59.427,42.225,54.792,35.088,32.967,33.906,2.718,51.794,40.137,55.115,66.747,75.078,57.41,76.868,49.515,55.614,14.102,45.252,54.698,56.222,47.278,50.274,64.213,31.862,94.4,8.623,66.779,7.243,12.073,64.968,67.678,10.294,30.221,9.666,9.067,48.193,47.154,76.525,55.587,43.848,77.8,17.48,24.688,10.416,8.108,24.567,7.178,39.738,79.213,11.526,40.77,55.665,49.768,43.342,60.982,7.431,7.114,60.132,27.262,60.249,37.718,58.598,57.401,58.91,54.863,94.626,57.746,52.797,43.811,79.803,10.04,57.996,43.669,34.496,50.09,31.617,45.335,42.446,67.844,57.84,25.787,67.049,53.31,36.154,19.473,25.112,30.993,32.542,2.98,8.885,54.233,30.537,49.147,36.753,48.143,5.719,38.717,56.024,13.474,33.184,24.699,59.294,64.534,54.48,43.344,47.851,45.171,42.651,33.379,29.337,12.51,39.884,29.053,37.27,19.599,25.314,61.975,45.976,50.2,52.699,41.274,53.557,36.785,23.76, 
Axapusco,49.576,67.615,87.692,24.129,66.328,88.311,50.612,65.187,52.151,68.452,71.481,22.386,25.997,51.533,77.731,86.421,18.073,7.518,33.731,11.833,26.336,52.44,64.796,35.115,0,64.578,51.489,12.533,85.694,69.062,6.482,89.35,53.574,10.241,26.82,35.278,78.814,37.826,74.179,54.304,52.354,53.293,34.914,49.471,59.524,22.353,86.134,94.465,63.571,96.255,67.221,75.001,29.224,30.576,74.085,75.609,66.665,69.661,83.6,5.41,113.787,31.152,48.872,27.075,27.792,47.061,87.065,32.823,49.608,26.629,24.189,32.344,60.763,95.912,21.773,63.235,97.187,32.274,12.807,17.503,24.034,23.864,22.635,24.012,98.6,33.276,60.157,75.052,24.91,62.729,67.874,29.902,34.152,79.519,46.649,53.994,57.105,77.985,53.317,78.297,71.121,114.013,77.133,72.184,63.198,59.933,30.229,77.383,62.214,3.874,66.088,48.634,56.569,61.833,87.231,77.227,10.374,86.436,49.226,55.541,44.514,44.499,50.209,51.929,28.002,35.924,73.62,49.924,49.129,29.732,67.53,36.819,34.318,75.404,17.163,52.571,35.284,78.681,83.921,73.867,62.731,52.896,65.828,62.038,52.766,48.724,31.994,59.271,48.44,56.657,43.282,44.701,81.362,62.993,69.587,69.716,58.291,70.574,53.802,40.777, 
Santa Mara Huecatitla,39.879,37.508,39.377,46.66,7.417,39.996,41.621,7.135,14.212,18.996,22.025,67.321,45.564,18.976,24.888,22.353,58.27,68.323,36.254,59.157,45.832,8.807,4.821,45.191,64.578,0,21.055,55.899,23.634,22.074,59.659,27.29,7.291,71.706,48.176,36.056,16.121,23.443,21.313,38.151,8.267,17.447,44.209,40.657,6.429,67.977,37.327,41.599,27.624,47.448,19.729,11.172,49.259,58.114,13.929,22.743,15.408,11.52,34.793,61.253,60.921,40.447,55.642,47.11,47.827,53.831,25.005,38.703,17.301,46.664,44.224,36.982,24.398,32.534,56.368,4.654,37.259,48.426,54.079,53.033,44.069,54.289,51.442,52.6,38.672,38.025,18.033,23.076,62.63,2.35,31.196,39.197,43.447,15.514,20.159,49.112,10.581,13.98,39.516,14.35,27.894,61.147,11.324,12.286,6.155,36.111,37.322,15.616,23.485,63.887,20.304,40.073,29.174,11.953,38.424,13.597,55.178,37.629,40.288,13.27,38.16,20.801,43.855,16.383,48.037,45.219,13.847,13.302,62.009,49.615,13.285,46.114,26.597,26.238,52.693,11.462,45.108,7.738,31.055,8.058,5.667,32.517,15.385,4.101,9.164,15.578,36.047,8.067,13.257,22.557,36.928,20.138,32.555,35.96,15.277,30.943,29.897,37.214,35.819,32.216, 
Colonia Lzaro Crdenas (Los Hornos),49.567,50.656,29.443,33.571,26.758,30.062,53.023,28.879,27.712,32.144,35.173,76.382,32.475,14.61,33.387,42.077,45.181,55.234,23.165,46.068,32.743,12.303,19.533,32.102,51.489,21.055,0,52.329,27.67,35.407,56.089,31.326,12.274,68.136,68.605,32.486,34.212,37.483,28.93,44.38,11.03,16.788,40.639,61.086,23.684,64.407,28.11,49.216,40.957,38.231,33.062,16.977,45.689,54.544,35.175,30.36,30.825,33.821,25.576,57.683,54.305,36.877,76.071,43.54,44.257,74.26,29.041,35.133,13.103,43.094,40.654,57.485,37.731,37.888,76.797,10.627,39.163,44.856,50.509,49.463,40.499,50.719,47.872,49.03,40.576,34.455,32.073,30.693,59.06,20.064,44.529,35.627,39.877,23.131,15.962,69.541,7.218,21.597,66.693,33.938,41.227,57.753,19.109,36.344,10.242,49.444,33.752,19.359,37.525,60.317,33.637,36.503,42.507,25.993,29.207,28.452,51.608,28.412,62.602,27.31,34.59,12.88,40.285,5.502,44.467,41.649,15.596,5.486,58.439,46.045,31.69,42.544,48.009,39.571,49.123,2.055,41.538,22.293,38.672,15.843,12.889,57.143,28.718,26.198,9.061,4.508,32.477,6.822,10.253,6.958,33.358,9.067,23.338,22.058,11.563,21.726,16.87,24.187,22.792,28.646, 
San Francisco Mazapa,55.989,74.028,79.085,14.314,57.721,79.704,57.025,56.58,43.544,59.845,62.874,31.146,12.93,42.926,69.124,77.814,18.772,16.278,25.124,8.067,16.521,43.833,56.189,26.508,12.533,55.899,52.329,0,75.615,61.168,7.438,79.271,43.495,19.7,31.781,25.199,68.735,30.643,64.1,25.14,42.275,43.214,24.835,37.884,49.445,24.098,76.055,84.386,72.661,86.176,42.463,64.922,15.264,31.342,64.006,65.53,56.586,59.582,73.521,8.075,103.708,21.073,57.962,11.177,10.936,56.151,76.986,22.744,39.529,11.215,14.11,34.283,35.571,85.833,32.971,53.156,87.108,18.314,2.007,7.654,13.955,13.617,17.994,16.829,88.521,23.197,35.127,64.973,23.518,52.65,76.964,19.823,24.073,69.44,36.57,63.084,47.026,67.906,62.407,68.218,43.28,103.934,67.054,62.105,53.119,69.023,20.15,67.304,32.087,12.062,41.33,38.555,33.752,51.754,77.152,67.148,1.81,76.357,58.316,45.462,34.435,34.42,20.245,41.85,17.923,25.845,63.541,39.845,35.236,22.549,57.451,26.74,27.135,65.332,7.314,42.492,21.324,68.602,73.842,63.788,52.652,33.941,41.07,51.959,42.687,38.645,21.915,49.192,38.361,46.578,33.203,34.622,71.283,52.914,59.508,59.637,48.212,60.495,43.723,30.698, 
