LOCALIDADES,Huitzililla,San Juan Tejupa,Tlayecac,San Lucas Colucan,Matzaco,Metepec,Xochitln,Tecomatln,Oacalco,Santa Teresa,Fraccionamiento Lomas de Cocoyoc,Tlapanal,Tilapa,San Antonio Alpanocan,Atenango del Ro,San Nicols Tolentino,Chinameca,Mayanaln,San Gabriel las Palmas,Huaquechula,Cacaloxchitl,Tzicatln,Tetecalita,Ayutla (San Felipe Ayutla),Taxco el Viejo,Atotonilco,Tetelilla,Unidad Habitacional Rinconada Acolapa,Ixtlilco el Grande,Tochimilco,Atlacahualoya,Huatecalco,Cuentepec,Villa Santiago,Zacualpan de Amilpas,San Andrs Tlalamac,Amilcingo,Tequesquitengo,Jaloxtoc,San Juan Raboso,Moyotepec,Unidad Habitacional Jos Mara Morelos y Pavn,Huazulco,Jumiltepec,Pea Flores (Palo Verde),Ticumn,San Juan Amecac,Acuitlapn,Tlancualpican,La Galarza,Escape de Lagunillas,Atlacholoaya,San Jos Vista Hermosa,Crucero Tezoyuca,Santa Catarina,Telixtac,Tezoyuca,Higuern,Mazatepec,Jantetelco,Calmeca (San Juan Calmeca),Huehuetln el Chico,Tepeojuma,Tilzapotla,Ocuituco,Xochihuehuetln,Tetecala,Tlacotepec,Tulcingo de Valle,Amayuca,Acamixtla,Amacuzac,Calera Chica,Los Arcos,Tehuitzingo,Pedro Amaro,Tlatenchi,Chietla,Temoac,Totolapan,Tlamacazapa,Tepecoacuilco de Trujano,Tehuixtla,Hueyapan (San Andrs Hueyapan),Ciudad Ayala,Copalillo,Oaxtepec,Jolalpan,Ecatzingo de Hidalgo,Chiconcuac,Buenavista de Cullar,Miacatln,Independencia,Atlatlahucan,Tlayacapan,Tenextepango,Jonacatepec,Alpuyeca,Fraccionamiento Lomas de Ahuatln,Coatetelco,Cocoyoc,Tetela del Volcn,Ciudad de Chiautla de Tapia,Tlaltizapn,Unidad Habitacional Jos Mara Morelos y Pavn,San Nicols Galeana,Anenecuilco,Atencingo,Tepalcingo,San Pedro Apatlaco,Juan Morales,La Joya,Tepoztln,Progreso,Santa Rosa Treinta,Yecapixtla,Ciudad de Huitzuco,Axochiapan,Tres de Mayo,Tlaquiltenango,Jojutla,Xochitepec,Xoxocotla,Puente de Ixtla,Zacatepec de Hidalgo,Yautepec de Zaragoza,Izcar de Matamoros,Emiliano Zapata,Taxco de Alarcn,Temixco,Iguala de la Independencia,Cuautla,Jiutepec,Cuernavaca, 
Pea Flores (Palo Verde),27.365,69.892,19.715,83.229,77.024,31.72,22.342,149.315,12.431,145.911,12.798,71.62,66.298,41.811,142.823,78.713,33.044,157.951,77.671,73.828,96.353,66.639,44.277,79.753,131.55,38.93,41.855,25.114,53.941,60.771,54.321,41.342,69.074,34.231,36.996,32.464,34.45,79.784,23.888,76.012,19.787,57.432,33.195,29.127,0,29.958,55.368,109.339,71.114,92.024,66.554,57.366,58.497,41.025,29.021,51.984,40.589,54.518,73.017,30.631,51.8,77.488,86.962,89.678,28.329,189.428,77.648,40.629,171.453,28.552,121.829,81.397,33.219,8.343,116.188,52.769,53.794,74.408,34.875,23.806,119.253,144.604,80.86,44.075,15.807,156.697,6.916,83.198,43.327,55.007,107.037,73.105,24.629,18.096,13.603,19.055,32.407,59.527,46.277,69.053,3.764,34.847,91.306,38.678,55.703,52.158,13.94,76.699,43.82,11.741,10.809,23.043,26.997,27.743,46.491,17.943,139.299,59.224,44.722,46.94,50.322,50.221,65.054,73.421,48.756,12.061,71.074,34.963,118.893,45.384,135.193,6.307,33.197,45.799, 
Ticumn,43.691,99.176,48.999,112.513,106.308,61.004,51.626,178.599,25.173,119.113,35.851,100.904,95.582,71.095,98.242,107.997,26.082,131.153,39.264,103.112,125.637,68.278,24.15,109.037,104.752,51.456,56.952,28.111,56.365,90.055,62.091,12.437,52.16,48.972,66.28,61.748,63.734,31.963,46.892,105.296,24.334,28.527,62.479,58.411,29.958,0,85.322,73.511,73.482,121.978,74.2,25.935,29.561,29.78,44.557,56.068,30.255,25.582,42.536,60.585,81.754,79.856,116.916,46.013,57.582,219.382,47.167,70.583,201.407,58.506,86.001,43.167,36.267,23.171,146.142,23.833,24.858,104.362,64.829,45.755,83.701,114.218,37.195,73.328,25.52,113.056,30.812,86.438,72.58,31.914,71.485,45.251,27.677,41.661,37.499,28.574,62.36,33.679,50.999,38.572,29.015,64.1,93.673,9.742,38.781,23.222,27.108,80.741,45.775,31.027,40.763,26.091,33.974,30.79,17.555,47.196,95.658,62.043,40.474,18.004,21.386,34.722,25.008,35.934,19.82,18.155,101.028,38.011,83.065,38.883,99.641,35.56,36.245,46.623, 
San Juan Amecac,45.226,16.253,37.168,73.659,67.454,17.453,30.629,139.745,64.198,214.601,65.88,27.435,56.728,9.489,211.513,69.143,63.853,226.641,146.36,18.339,28.383,57.069,125.532,70.183,200.24,35.831,38.902,80.51,50.842,16.773,44.751,81.619,137.764,85.726,19.551,34.815,21.788,148.473,41.749,66.442,58.778,103.182,21.667,23.819,55.368,85.322,0,176.656,60.909,41.165,56.349,124.684,136.423,121.475,79.504,41.779,120.154,99.558,140.335,21.845,41.595,67.283,33.527,156.995,24.294,179.223,144.966,15.418,161.248,26.607,189.146,148.714,87.157,62.281,105.983,97.809,97.62,64.203,21.391,65.85,186.57,211.921,148.177,8.477,53.901,133.868,57.409,77.568,29.313,122.325,174.354,140.423,78.567,60.14,64.096,52.462,29.222,126.845,96.759,136.371,54.744,15.165,81.101,82.504,123.02,95.984,52.034,66.494,40.635,48.638,46.453,76.981,77.48,81.681,90.317,31.807,206.617,49.019,112.039,90.766,94.148,117.539,132.372,140.738,92.582,65.999,60.869,88.901,186.21,112.702,202.51,47.639,87.135,96.281, 
Acuitlapn,101.289,191.936,141.759,205.273,199.068,153.803,144.425,271.359,117.175,73.681,128.416,193.664,188.342,163.894,117.04,200.757,83.68,85.721,34.783,195.872,218.397,125.876,67.387,201.797,30.135,109.054,163.899,85.711,113.963,182.854,176.365,62.294,72.325,86.833,159.04,154.547,156.494,54.001,145.932,198.056,84.06,59.663,155.239,151.21,109.339,73.511,176.656,0,134.637,207.083,135.355,62.936,38.766,58.567,83.72,117.223,57.246,59.022,44.051,145.69,166.859,141.011,202.021,55.572,143.455,304.487,39.195,155.688,286.512,143.611,54.83,25.043,64.449,94.981,231.247,57.273,51.696,189.467,149.934,129.33,68.469,99.54,46.754,159.201,90.357,122.592,115.938,147.593,158.452,58.523,50.959,48.527,78.717,125.235,121.074,91.433,147.465,45.181,72.955,47.737,100.824,149.973,154.828,56.531,60.112,46.088,89.488,191.758,106.93,129.28,125.868,79.409,98.175,75.765,54.864,133.069,105.194,123.198,61.585,57.61,53.882,56.053,47.421,31.798,46.911,89.956,186.133,64.918,51.894,61.166,84.466,123.633,73.951,68.579, 
Tlancualpican,45.396,64.828,52.914,28.279,27.905,67.567,81.462,111.948,79.944,178.811,81.626,43.512,27.452,67.05,102.838,25.087,48.895,190.851,96.833,54.312,59.025,14.92,81.719,25.265,164.45,33.214,27.101,96.256,22.393,81.84,17.474,70.006,109.729,101.472,50.804,91.584,43.869,91.66,48.597,38.645,61.586,88.224,45.599,72.472,71.114,73.482,60.909,134.637,0,55.02,14.944,83.51,87.136,87.355,96.365,19.838,87.83,84.371,100.111,41.819,32.948,9.184,49.958,103.588,66.535,94.127,104.742,54.619,75.829,43.467,143.576,100.742,104.018,79.142,79.147,82.622,82.433,16.688,48.866,82.71,141.276,171.793,94.77,67.036,65.677,95.294,74.27,38.995,80.054,89.489,129.06,102.826,95.428,77,80.957,59.326,37.836,91.254,113.62,96.147,71.605,65.906,23.002,67.317,96.356,80.797,68.894,14.748,27.996,65.498,63.313,93.842,94.341,98.542,75.13,69.565,153.233,12.409,128.9,75.579,78.961,92.297,82.583,93.509,77.395,82.86,34.071,105.762,140.64,129.563,157.216,64.499,103.996,113.142, 
La Galarza,81.881,38.935,73.823,34.847,28.642,88.476,102.372,100.933,100.854,251.257,102.536,10.494,32.5,61.509,149.81,30.405,100.508,263.297,183.016,22.83,17.194,61.892,162.188,31.445,236.896,72.487,64.341,117.166,78.049,40.009,70.19,118.275,174.42,122.382,71.713,112.494,64.779,185.129,78.404,27.63,95.434,139.837,66.509,93.381,92.024,121.978,41.165,207.083,55.02,0,34.626,149.443,161.182,146.234,104.263,55.2,144.913,124.316,165.094,49.717,27.943,51.009,8.919,181.754,74.433,128.521,169.725,62.517,110.546,51.365,213.905,173.473,111.916,87.04,55.281,122.567,122.378,25.135,56.764,90.608,211.329,236.68,172.936,74.934,78.659,129.271,82.168,72.972,87.952,147.084,199.113,165.182,103.326,84.898,88.855,77.22,53.98,151.604,121.518,161.13,79.503,73.804,64.827,107.262,147.779,120.742,76.792,27.426,65.393,73.396,71.211,101.74,102.239,106.44,115.075,77.463,231.376,46.385,136.798,115.524,118.906,142.298,157.131,165.497,117.34,90.758,8.717,113.66,210.969,137.461,227.269,72.397,111.894,121.04, 
Escape de Lagunillas,46.114,57.411,48.354,24.601,24.964,63.007,76.902,104.531,75.384,179.529,77.066,36.095,20.035,62.49,103.557,22.411,49.613,191.569,97.551,46.895,51.608,15.639,82.437,23.451,165.168,33.932,22.541,91.696,23.111,74.423,14.143,70.724,110.447,96.912,46.244,87.024,39.309,92.378,52.935,31.228,62.304,88.942,41.039,67.912,66.554,74.2,56.349,135.355,14.944,34.626,0,84.222,87.848,88.067,93.029,20.55,88.542,85.083,100.823,38.483,23.632,24.277,42.56,104.3,63.199,144.989,105.454,51.283,127.014,40.131,144.288,101.454,100.682,75.806,71.749,83.334,83.145,11.899,45.53,79.374,141.988,172.505,95.482,63.7,67.425,96.007,70.934,39.708,76.718,90.201,129.772,103.538,92.092,73.664,77.621,60.038,32.392,91.966,110.284,96.859,68.269,62.57,38.095,68.029,136.545,81.509,65.558,7.91,28.708,62.162,59.977,90.506,91.005,95.206,75.842,66.229,153.945,13.121,125.564,76.291,79.673,131.064,83.295,94.221,78.107,79.524,26.672,102.426,141.352,126.227,157.928,61.163,100.66,109.806, 
Atlacholoaya,53.713,139.964,89.787,153.301,147.096,101.831,92.453,219.387,65.203,107.11,76.444,141.692,136.37,111.922,104.022,148.785,36.104,119.15,29.904,143.9,166.425,78.3,11.033,149.825,92.749,61.478,66.974,33.738,66.387,130.882,72.113,15.161,29.02,34.86,107.068,102.575,104.522,40.983,56.914,146.084,36.484,21.431,103.267,99.238,57.366,25.935,124.684,62.936,83.51,149.443,84.222,0,21.582,8.812,39.527,66.092,8.396,23.52,26.285,101.497,122.666,89.88,157.828,42.789,99.262,260.294,30.916,111.495,242.319,99.418,74.94,34.508,14.855,39.446,187.054,21.771,20.558,94.754,105.741,85.137,72.364,97.715,33.971,115.008,41.355,109.809,71.745,96.462,114.259,5.515,60.148,26.372,23.182,81.042,76.881,42.431,66.116,12.795,28.762,22.321,45.29,105.78,103.697,16.327,15.7,17.866,40.485,90.765,55.799,46.937,81.675,23.875,53.982,20.23,9.204,88.876,92.411,72.067,17.393,17.488,18.38,7.885,16.553,26.532,14.478,34.421,141.94,15.323,72.004,16.973,88.304,79.44,20.179,24.386, 
San Jos Vista Hermosa,57.339,151.703,65.04,165.04,158.835,113.57,104.192,231.126,53.712,83.858,88.183,153.431,148.109,123.661,75.791,160.524,39.73,95.898,11.889,155.639,178.164,81.926,22.773,161.564,68.579,65.104,70.6,45.477,70.013,142.621,75.739,18.344,30.295,46.6,118.807,114.314,116.261,6.93,60.54,157.823,40.11,12.486,115.006,110.977,58.497,29.561,136.423,38.766,87.136,161.182,87.848,21.582,0,24.33,49.482,69.87,23.009,19.23,19.503,111.452,132.621,93.658,167.783,22.69,109.217,270.249,24.134,121.45,252.274,109.373,58.76,15.926,30.211,60.744,197.009,17.481,16.591,98.532,115.696,95.092,56.46,90.895,13.872,124.963,45.133,89.733,81.7,100.24,124.214,24.286,44.244,22.218,44.48,90.997,86.836,46.209,69.894,10.646,38.717,15.539,66.587,115.735,107.475,20.105,25.875,9.662,44.263,94.543,59.577,50.715,91.63,45.172,63.937,41.528,12.79,98.831,72.335,75.845,27.348,15.908,14.091,19.748,5.011,8.693,10.485,55.719,151.895,30.68,55.824,26.928,72.4,89.395,39.714,34.341, 
Crucero Tezoyuca,57.558,136.755,86.578,150.092,143.887,98.622,89.244,216.178,36.24,102.741,73.235,138.483,133.161,108.713,99.653,145.576,39.949,114.781,34.5,140.691,163.216,82.145,5.997,146.616,88.38,65.323,70.819,17.398,70.232,127.673,75.958,18.616,24.651,31.652,103.859,99.366,101.313,36.614,90.751,142.875,40.329,31.055,100.058,96.029,41.025,29.78,121.475,58.567,87.355,146.234,88.067,8.812,24.33,0,35.059,69.925,2.2,29.714,31.661,97.029,118.198,93.713,153.36,43.969,94.794,255.826,36.292,107.027,237.851,94.95,76.12,35.688,8.658,33.249,182.586,27.965,40.093,140.806,101.273,80.669,73.544,98.895,35.151,110.54,45.188,110.989,67.277,100.295,109.791,4.375,61.328,31.748,16.985,76.574,72.413,46.264,98.804,18.171,24.294,27.697,39.093,101.312,107.53,20.16,11.232,24.06,44.318,94.598,59.632,51.072,77.207,17.678,49.514,14.033,15.398,84.408,93.591,75.9,12.925,24.427,24.574,7.173,23.698,27.712,20.672,28.224,137.472,9.126,73.184,10.828,89.484,45.638,13.982,19.918, 
Santa Catarina,52.257,94.784,44.607,108.121,101.916,56.651,47.273,174.207,20.022,127.894,31.263,96.512,91.19,66.742,124.805,103.605,70.884,139.934,59.653,98.72,121.245,91.531,38.825,104.645,113.533,63.822,66.747,29.335,78.833,85.702,79.213,51.444,51.056,5.565,61.888,57.395,59.342,61.766,48.78,100.904,48.027,56.207,58.087,54.058,29.021,44.557,79.504,83.72,96.365,104.263,93.029,39.527,49.482,35.059,0,76.777,34.653,74.944,54.834,55.424,76.593,102.281,111.755,71.494,53.188,214.221,59.465,65.422,196.246,53.345,103.645,63.213,26.41,25.109,140.981,73.195,67.618,99.201,59.668,39.063,101.069,126.42,62.676,68.934,43.08,138.514,25.672,107.99,68.185,36.823,88.853,54.922,27.278,34.968,30.807,46.328,57.199,41.344,16.191,50.87,26.473,59.706,116.099,53.873,37.519,54.035,41.213,101.492,68.612,39.014,35.602,27.971,7.488,24.326,47.771,42.802,121.116,84.017,26.538,56.055,69.804,32.038,46.871,55.237,53.045,25.858,95.867,28.154,100.709,27.201,117.009,33.367,22.512,15.713, 
Telixtac,27.982,57.059,33.784,59.058,52.853,48.437,62.332,125.144,60.814,161.397,62.496,47.449,42.127,47.92,99.105,54.542,31.481,173.437,79.419,49.657,72.182,14.628,64.305,55.582,147.036,15.8,7.903,77.126,12.196,59.445,6.016,52.592,92.315,82.342,31.674,72.454,24.739,74.246,31.183,51.841,44.172,70.81,26.469,53.342,51.984,56.068,41.779,117.223,19.838,55.2,20.55,66.092,69.87,69.925,76.777,0,70.417,66.958,82.698,22.689,27.988,26.213,63.15,86.175,47.405,165.616,87.329,35.489,147.641,24.337,126.163,83.329,84.888,60.012,92.376,65.209,65.02,31.087,29.736,63.58,123.863,154.38,77.357,47.906,48.264,91.563,55.14,35.263,60.924,72.076,111.647,85.413,76.298,57.87,61.827,41.913,16.529,73.841,94.49,78.734,52.475,46.776,40.03,49.904,78.943,63.384,49.764,27.098,10.583,46.368,44.183,74.712,75.211,79.412,57.717,50.435,135.82,7.737,109.77,58.166,61.548,74.884,65.17,76.096,59.982,63.73,47.262,86.632,123.227,110.433,139.803,45.369,84.866,94.012, 
Tezoyuca,58.033,135.434,85.257,148.771,142.566,97.301,87.923,214.857,35.804,101.42,71.914,137.162,131.84,107.392,98.332,144.255,40.424,113.46,33.179,139.37,161.895,82.62,6.472,145.295,87.059,65.798,107.397,16.962,70.707,126.352,119.863,19.091,23.33,30.331,102.538,98.045,99.992,35.293,89.43,141.554,40.804,29.734,98.737,94.708,40.589,30.255,120.154,57.246,87.83,144.913,88.542,8.396,23.009,2.2,34.653,70.417,0,29.312,29.767,95.74,116.909,94.198,152.071,44.583,93.505,254.537,34.398,105.738,236.562,93.661,76.734,36.302,8.276,32.867,181.297,27.563,40.707,139.517,99.984,79.38,74.158,99.509,35.765,109.251,45.673,111.603,65.988,100.78,108.502,3.973,61.942,29.854,16.603,75.285,71.124,46.749,97.515,16.277,23.005,25.803,38.711,100.023,108.015,20.645,9.944,28.968,44.803,141.808,60.117,50.69,75.918,17.296,48.225,13.651,14.996,83.119,94.205,76.385,11.636,23.28,24.172,6.97,21.804,28.326,20.27,27.842,136.183,8.744,73.798,8.934,90.098,45.256,13.6,18.629, 
Higuern,54.574,114.838,62.275,128.174,121.969,85.564,76.186,194.26,49.733,103.196,60.411,116.565,111.243,95.655,82.325,123.658,35.938,115.236,28.779,118.773,141.298,79.161,27.412,124.698,88.835,62.339,67.835,69.5,67.248,117.224,72.974,13.817,42.976,70.622,81.942,86.308,79.396,16.045,57.775,120.957,36.131,12.609,78.141,82.971,54.518,25.582,99.558,59.022,84.371,124.316,85.083,23.52,19.23,29.714,74.944,66.958,29.312,0,32.153,72.059,95.883,90.869,131.045,26.9,82.273,233.512,36.784,84.713,215.537,72.636,76.976,36.544,42.861,47.862,160.272,2.809,7.267,95.743,78.959,70.446,74.4,83.965,18.082,97.13,41.131,82.803,55.503,97.451,97.271,26.311,62.184,34.868,57.13,66.352,62.19,42.207,67.105,23.296,51.367,28.189,53.706,88.791,104.686,15.899,38.525,10.079,40.262,91.754,56.788,46.713,52.422,50.782,76.587,54.178,14.463,71.887,65.405,73.056,39.998,8.384,6.084,32.398,17.18,28.568,11.106,42.846,115.157,43.33,74.04,39.578,90.34,60.251,52.364,46.991, 
Mazatepec,70.314,155.615,105.438,168.952,162.747,117.482,108.104,235.038,80.854,89.305,92.095,157.343,152.021,127.573,94.823,164.436,52.705,101.345,17.336,159.551,182.076,94.901,31.222,165.476,73.865,78.079,83.575,49.389,82.988,146.533,140.044,31.319,23.615,50.512,122.719,118.226,120.173,29.394,109.611,161.735,53.085,26.228,118.918,114.889,73.017,42.536,140.335,44.051,100.111,165.094,100.823,26.285,19.503,31.661,54.834,82.698,29.767,32.153,0,117.895,139.064,110.408,174.226,45.526,115.66,276.692,4.954,127.893,258.717,115.816,63.902,20.649,36.654,67.187,203.452,34.232,32.019,161.672,122.139,101.535,77.541,86.63,36.708,131.406,61.883,112.546,88.143,116.99,130.657,23.816,49.063,4.886,50.923,97.44,93.279,62.959,119.67,14.575,45.16,4.156,73.03,122.178,124.225,36.855,25.151,26.413,61.013,163.963,76.327,101.485,98.073,51.615,70.38,47.971,26.693,105.274,95.148,92.595,33.79,32.659,30.841,23.677,19.25,24.435,27.235,62.162,158.338,37.123,60.966,31.044,93.538,95.838,46.157,40.784, 
Jantetelco,20.489,37.124,12.431,53.575,47.37,26.569,40.979,119.661,39.461,189.864,41.143,41.966,36.644,26.052,186.776,49.059,36.459,201.904,121.623,44.174,66.699,36.985,100.795,50.099,175.503,10.657,12.818,55.773,25.667,39.51,24.667,57.57,113.027,60.989,9.806,51.101,3.08,123.736,17.012,46.358,34.041,75.788,4.81,31.989,30.631,60.585,21.845,145.69,41.819,49.717,38.483,101.497,111.452,97.029,55.424,22.689,95.74,72.059,117.895,0,23.319,49.007,58.481,133.732,26.412,160.947,121.703,13.719,142.972,2.257,165.883,125.451,63.894,39.018,87.707,74.546,74.357,45.927,7.966,42.587,163.307,188.658,124.914,26.136,30.638,112.045,34.146,55.745,39.154,99.062,151.091,117.16,55.304,36.877,40.833,29.199,5.064,103.582,73.496,113.108,31.481,25.006,62.825,59.241,99.757,72.721,28.771,48.218,16.367,25.375,23.19,53.718,54.217,58.418,67.054,29.442,183.354,30.743,88.776,67.503,70.885,94.276,109.109,117.475,69.319,42.736,42.593,65.638,162.947,89.439,179.247,24.376,63.872,73.018, 
Calmeca (San Juan Calmeca),41.657,32.834,33.599,31.801,25.596,48.252,62.148,97.887,60.63,211.033,62.312,20.192,14.87,47.735,127.619,27.285,60.284,223.073,142.792,22.401,44.925,42.284,121.964,28.325,196.672,32.263,24.117,76.942,37.825,39.236,29.966,78.051,134.196,82.158,31.489,72.27,24.555,144.905,38.18,24.584,55.21,99.613,26.285,53.157,51.8,81.754,41.595,166.859,32.948,27.943,23.632,122.666,132.621,118.198,76.593,27.988,116.909,95.883,139.064,23.319,0,46.546,35.893,155.581,48.26,138.359,143.552,36.344,120.384,25.192,187.732,147.3,85.743,60.867,65.119,96.394,96.205,23.339,30.591,64.435,185.156,210.507,146.763,48.761,52.486,121.116,55.995,64.816,61.779,120.911,172.94,139.009,77.153,58.725,62.682,51.047,27.807,125.431,95.345,134.957,53.33,47.631,60.364,81.089,121.606,94.569,50.619,25.63,39.22,47.223,45.038,75.567,76.066,80.267,88.902,51.29,205.203,36.267,110.625,89.351,92.733,116.125,130.958,139.324,91.167,64.585,20.005,87.487,184.796,111.288,201.096,46.224,85.721,94.867, 
Huehuetln el Chico,51.77,73.794,59.288,37.245,36.871,73.941,87.836,90.28,86.318,185.185,88,52.478,36.418,73.424,81.897,34.053,55.269,197.225,103.207,63.278,67.991,21.294,88.093,34.231,170.824,39.588,33.475,102.63,28.767,90.806,23.848,76.38,116.103,107.846,57.178,97.958,50.243,98.034,54.971,47.611,67.96,94.598,51.973,78.846,77.488,79.856,67.283,141.011,9.184,51.009,24.277,89.88,93.658,93.713,102.281,26.213,94.198,90.869,110.408,49.007,46.546,0,58.924,109.961,72.909,85.889,111.115,60.993,67.591,49.841,149.949,107.115,110.392,85.516,88.113,88.995,88.806,25.654,55.24,89.084,147.649,133.489,101.143,73.41,72.05,69.682,80.644,45.369,86.428,95.862,135.433,109.199,101.802,83.374,87.331,65.699,44.209,97.627,119.994,102.52,77.979,72.28,14.764,73.69,102.729,87.17,75.268,23.714,34.369,71.872,69.687,100.216,100.715,104.916,81.503,75.939,114.929,18.782,135.274,81.952,85.334,98.67,88.956,99.882,83.768,89.234,43.037,112.136,147.013,135.937,163.589,70.873,110.37,119.516, 
Tepeojuma,76.819,31.297,68.761,29.785,23.58,83.414,97.31,95.871,95.792,246.195,97.474,12.319,27.438,53.871,144.748,25.343,95.446,258.235,177.954,15.192,9.556,56.83,157.126,26.383,231.834,67.425,59.279,112.104,72.987,32.371,65.128,113.213,169.358,117.32,66.651,107.432,59.717,180.067,73.342,22.568,90.372,134.775,61.447,88.319,86.962,116.916,33.527,202.021,49.958,8.919,42.56,157.828,167.783,153.36,111.755,63.15,152.071,131.045,174.226,58.481,35.893,58.924,0,189.688,82.367,136.455,177.659,70.451,118.48,59.299,221.839,181.407,119.85,94.974,63.215,130.501,130.312,33.069,64.698,98.542,219.263,244.614,180.87,52.187,86.593,137.205,90.102,80.906,73.503,155.018,207.047,173.116,111.26,92.832,96.789,85.154,61.914,159.538,129.452,169.064,87.437,59.355,72.761,115.196,155.713,128.676,84.726,35.36,73.327,81.33,79.145,109.674,110.173,114.374,123.009,85.397,239.31,54.319,144.732,123.458,126.84,150.232,165.065,173.431,125.274,98.692,16.651,121.594,218.903,145.395,235.203,80.331,119.828,128.974, 
Tilzapotla,73.791,172.275,122.098,185.612,179.407,134.142,124.764,251.698,97.514,99.746,108.755,174.003,168.681,144.233,79.558,181.096,56.182,111.786,22.037,176.211,198.736,98.378,47.726,182.136,85.385,81.556,87.052,66.05,86.465,163.193,92.191,34.248,52.521,67.172,139.379,134.886,136.833,16.416,76.992,178.395,56.562,22.078,135.578,131.549,89.678,46.013,156.995,55.572,103.588,181.754,104.3,42.789,22.69,43.969,71.494,86.175,44.583,26.9,45.526,133.732,155.581,109.961,189.688,0,131.582,292.614,44.713,143.815,274.639,131.738,76.571,36.139,52.576,83.109,219.374,27.336,21.759,115.948,138.061,117.457,59.075,82.066,8.874,147.328,60.42,80.904,104.065,132.839,146.579,46.651,46.859,48.904,66.845,113.362,109.201,61.496,87.31,33.878,61.082,43.624,88.952,138.1,124.891,35.188,48.24,22.831,59.551,111.959,76.993,66.002,113.995,67.537,86.302,63.893,32.967,121.196,63.506,93.261,49.713,27.673,23.945,44.181,27.128,19.908,27.042,78.084,174.26,53.045,73.635,49.293,75.015,111.76,62.079,56.706, 
Ocuituco,31.813,42.496,23.755,78.291,72.086,7.099,15.995,144.377,37.226,187.629,38.581,66.682,61.36,17.19,184.541,73.775,50.44,199.669,119.388,47.184,91.415,61.701,98.56,74.815,173.268,33.992,36.917,52.77,49.003,36.15,49.383,68.997,110.792,58.753,23.339,18.196,29.513,121.501,28.336,71.074,39.052,85.087,23.973,6.602,28.329,57.582,24.294,143.455,66.535,74.433,63.199,99.262,109.217,94.794,53.188,47.405,93.505,82.273,115.66,26.412,48.26,72.909,82.367,131.582,0,184.863,125.184,18.264,166.888,23.987,169.364,128.932,67.375,42.499,111.623,85.498,87.95,69.843,21.339,30.917,166.788,192.139,128.395,16.47,34.119,134.932,37.627,78.632,17.705,102.543,154.572,120.641,58.785,25.207,44.314,40.151,27.841,107.063,76.977,116.589,34.962,7.242,86.741,72.834,103.238,86.314,32.252,72.134,39.254,28.856,26.671,57.199,57.698,61.899,80.647,14.267,186.835,54.659,92.257,81.096,84.478,97.757,112.59,120.956,82.912,46.217,66.508,69.119,166.428,92.92,182.728,27.857,67.353,76.499, 
Xochihuehuetln,179.286,155.117,171.228,121.431,122.217,185.881,199.776,40.474,198.258,322.54,199.94,133.801,129.905,185.364,119.239,124.765,197.913,182.351,280.42,144.601,145.503,106.237,259.592,120.467,334.3,169.892,161.745,214.57,175.453,168.318,167.594,215.679,271.824,219.786,169.118,209.898,162.183,282.533,175.809,113.852,192.838,237.242,163.913,190.786,189.428,219.382,179.223,304.487,94.127,128.521,144.989,260.294,270.249,255.826,214.221,165.616,254.537,233.512,276.692,160.947,138.359,85.889,136.455,292.614,184.863,0,280.143,172.935,20.037,161.783,324.323,283.891,222.334,197.458,73.24,232.985,232.796,135.514,167.182,201.026,321.747,175.429,283.354,185.352,189.077,111.622,192.586,183.351,198.37,257.502,309.531,275.6,213.744,195.316,199.273,187.638,164.398,262.022,231.936,271.548,189.921,184.222,74.211,217.68,258.197,231.16,187.21,137.805,175.811,183.814,181.629,212.158,212.657,216.858,225.493,187.881,156.869,156.764,247.216,225.942,229.324,252.716,267.549,275.915,227.758,201.176,120.458,224.078,321.387,247.879,337.687,182.815,222.312,231.458, 
Tetecala,74.945,160.246,110.069,173.583,167.378,122.113,112.735,239.669,85.485,86.744,96.726,161.974,156.652,132.204,97.672,169.067,57.336,98.784,17.972,164.182,186.707,99.532,35.853,170.107,69.009,82.71,88.206,54.02,87.619,151.164,144.675,35.95,28.291,55.143,127.35,122.857,124.804,34.025,114.242,166.366,57.716,30.859,123.549,119.52,77.648,47.167,144.966,39.195,104.742,169.725,105.454,30.916,24.134,36.292,59.465,87.329,34.398,36.784,4.954,121.703,143.552,111.115,177.659,44.713,125.184,280.143,0,132.379,263.203,120.302,59.047,20.567,41.14,71.673,207.938,38.718,36.505,166.158,126.625,106.021,72.686,103.757,41.194,135.892,66.369,117.032,92.629,121.476,135.143,28.302,71.899,9.432,55.409,101.926,97.765,67.445,124.156,19.061,49.646,8.642,77.516,126.664,128.711,41.341,29.696,30.899,65.499,168.449,80.813,105.971,102.559,56.101,74.866,52.457,31.179,109.76,99.634,97.081,38.276,37.145,35.327,28.163,23.736,20.686,31.721,66.648,162.824,41.609,56.111,35.53,88.683,100.324,50.643,45.27, 
